"description.string()","type.string()","brand.string()","model.string()","serial.string()","uaz.string()","guard.string()","location.string()","details.string()","funding.string()","rfid.string()"
"Servidor de red","net","Dell","Poweredge R22","Serdll1450",350000004973,"JFT","Site","-","FMX","id_163"
"Servidor de red","net","Cisco","Catalyst 2960","FCW1835A009",350000004984,"JFT","Site","-","-","id_164"
"Receptor digital multimedia","net","Apple","A1469","F6KNKS73FF54",34010000025,"JFT","Sala de juntas","-","FMX","id_165"
"Rack","net","Epcom","SR1920F","S/S",4100000017138,"JFT","Cubículo Dr Viktor ","-","FMX","id_166"
"Impresora Multifuncional","ofc","HP","M276NW","SNF8G2D5ML",35000000171037,"JFT","Área de impresión","-","FOMIX","id_167"
"Impresora B y N","ofc","HP","M506","PHBGQ03170",35000000171407,"JFT","Área de impresión","-","FMX","id_168"
"Dispensador de agua","ofc","Hamilton Beach","BL-HRCBS-4","S/S",4402000039152,"JFT","Área de impresión","-","IR","id_169"
"Depósito de basura","ofc","Tramontina","S/M","S/S",700000108310,"JFT","Área de impresión","-","CYT","id_170"
"Depósito de basura","ofc","Tramontina","S/M","S/S",700000108311,"JFT","Recepción","-","CYT","id_171"
"Archivero","ofc","S/M","S/M","S/S",44020000061132,"JFT","Recepción","-","FMX","id_172"
"Aspiradora","ofc","KOBLENZ","SHP-59775","S/S",360000000135,"JFT","Site","-","IR","id_173"
"Escritorio en L gris","ofc","Línea Italia","S/M","S/S",44020000441761,"JFT","Estación de trabajo 3","-","FMX","id_174"
"Escritorio en L gris","ofc","Línea Italia","S/M","S/S",44020000441762,"JFT","Estación de trabajo 2","-","FMX","id_175"
"Escritorio en L gris","ofc","Línea Italia","S/M","S/S",44020000441763,"JFT","Estación de trabajo 6","-","FMX","id_176"
"Escritorio en L gris","ofc","Línea Italia","S/M","S/S",44020000441764,"JFT","Estación de trabajo 4","-","FMX","id_177"
"Escritorio en L gris","ofc","Línea Italia","S/M","S/S",44020000441765,"JFT","Estación de trabajo 5","-","FMX","id_178"
"Escritorio en L gris","ofc","Línea Italia","S/M","S/S",44020000441766,"JFT","Estación de trabajo 1","-","FMX","id_179"
"Archivero gris","ofc","Línea Italia","S/M","S/S",4402000006876,"JFT","Estación de trabajo 1","-","FMX","id_180"
"Archivero gris","ofc","Línea Italia","S/M","S/S",4402000006877,"JFT","Estación de trabajo 4","-","FMX","id_181"
"Archivero gris","ofc","Línea Italia","S/M","S/S",4402000006878,"JFT","Estación de trabajo 5","-","FMX","id_182"
"Archivero gris","ofc","Línea Italia","S/M","S/S",4402000006879,"JFT","Estación de trabajo 6","-","FMX","id_183"
"Archivero gris","ofc","Línea Italia","S/M","S/S",4402000006880,"JFT","Estación de trabajo 2","-","FMX","id_184"
"Archivero gris","ofc","Línea Italia","S/M","S/S",4402000006881,"JFT","Estación de trabajo 3","-","FMX","id_185"
"Silla  secretarial con ruedas","ofc","OFFIHO","S/M","S/S",44020001316760,,"Estación de trabajo 2","-","FMX","id_186"
"Silla  secretarial con ruedas","ofc","OFFIHO","S/M","S/S",44020001316761,,"Estación de trabajo 4","-","FMX","id_187"
"Silla  secretarial con ruedas","ofc","OFFIHO","S/M","S/S",44020001316762,,"Estación de trabajo 6","-","FMX","id_188"
"Silla  secretarial con ruedas","ofc","OFFIHO","S/M","S/S",44020001316763,,"Estación de trabajo 5","-","FMX","id_189"
"Silla  secretarial con ruedas","ofc","OFFIHO","S/M","S/S",44020001316764,,"Estación de trabajo 3","-","FMX","id_190"
"Silla de piel negra","ofc","Línea Italia","CM205N","S/S",440200013110396,"JFT","Sala de juntas","-","IR","id_191"
"Silla de piel negra","ofc","Línea Italia","CM205N","S/S",440200013110397,"JFT","Sala de juntas","-","IR","id_192"
"Silla de piel negra","ofc","Línea Italia","CM205N","S/S",440200013110398,"JFT","Sala de juntas","-","IR","id_193"
"Silla de piel negra","ofc","Línea Italia","CM205N","S/S",440200013110399,"JFT","Sala de juntas","-","IR","id_194"
"Silla de piel negra","ofc","Línea Italia","CM205N","S/S",440200013110400,"JFT","Sala de juntas","-","IR","id_195"
"Silla de piel negra","ofc","Línea Italia","CM205N","S/S",440200013110401,"JFT","Sala de juntas","-","IR","id_196"
"Mesa para 6 personas","ofc","S/M","S/M","S/S",44020000956419,"JFT","Sala de juntas","-","IR","id_197"
"Mesa con puertas","ofc","S/M","S/M","S/S",44020000954923,"JFT","Recepción","-","FMX","id_198"
"Escritorio en L café","ofc","Línea Italia","S/M","S/S",44020000442399,"RSA","Recepción","-","-","id_199"
"Escritorio en L café","ofc","Línea Italia","S/M","S/S",44020000442412,"JFT","Estación de trabajo 7","-","-","id_200"
"Archivero café","ofc","Línea Italia","S/M","S/S",44020000061295,"JFT","Estación de trabajo 7","-","-","id_201"
"Archivero café","ofc","Línea Italia","S/M","S/S",44020000061292,"JFT","Recepción","-","-","id_202"
"Impresora","ofc","HP","S/M","VNB3V06991",35000000171452,"JFT","Recepción","-","-","id_203"
"Mesa impresoras","ofc","S/M","S/M","S/S",44020000954924,"JFT","Área de impresión","-","FMX","id_204"
"Cajonera","ofc","S/M","S/M","S/S",700000128175,"JFT","Cubículo Dr Jorge Flores","-","PIFI","id_205"
